"PG.ProteinGroups","logFC_primary","logFC_comparison"
"O43852",-0.252907851664739,-0.289126253197542
"O43866",0.0375322922543049,-3.8345783899274e-05
"O43897",-0.0186803911549838,-0.0996743997047602
"O60234",0.047016804131931,-0.020048742251257
"O60240",0.0211698507390574,-0.0401419578921622
"O60245",-0.125205984507067,-0.161940412098167
"O60279",-0.138654384659862,-0.163372525892315
"O60462",-0.0905161929306182,-0.124225458153898
"O60476",-0.0422088745329683,-0.0487946988738717
"O60493",0.0994232988469843,0.0568056551099438
"O60610",0.0276009307714737,0.00203273161586282
"O60664",-0.00316563641447143,-0.0943013321328285
"O60704",-0.283785306346369,-0.308320121132391
"O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879",0.0383191931347646,-0.0218961058978842
"O60844",-0.0825666296057275,-0.0141691389498586
"O60936",0.0530744208826599,-0.0152596605522177
"O75081",-0.0918153098734997,-0.114596745179346
"O75083",-0.0320141608579299,-0.0977762253244183
"O75144",0.1504124378081,0.125882527474964
"O75147",0.0793931178525948,0.0924391428206768
"O75165",0.258887559530934,0.111391104115015
"O75170",-0.156000831289509,-0.321774341157292
"O75223",0.00288841763397674,-0.0439440695513245
"O75309",0.0773361556054679,-0.00645542877987815
"O75339",-0.115806793749723,-0.167027478504886
"O75340",0.0288389121769086,-0.014488329310975
"O75347",-0.00430340329108603,-0.0746449048148659
"O75351",0.0745339867415353,0.0209409443930841
"O75356",0.095048185227518,0.09450339905852
"O75367",0.280165569106073,0.280017976147128
"O75368",-0.0530622336625903,-0.0974266911654915
"O75487",-0.162212486687892,-0.186903012733357
"O75531",0.0461903589736865,-0.101111999610863
"O75558",-0.158943190348842,-0.165230975821623
"O75636",0.372446491821895,0.247427778554902
"O75752",-0.181056518346807,-0.225244453325523
"O75787",-0.156595506809309,-0.206404835397654
"O75822",0.0134469716006116,-0.0778197850111209
"O75874",0.0190039656359549,-0.0499653361704162
"O75882",0.126586190537594,0.0678622434445941
"O75897",0.0205769155661031,-0.0247611569157105
"O75955",0.0217108941014654,-0.0301944459653889
"O94769",-0.135279995949693,-0.144979809718222
"O94966",0.477657033694593,0.413861677472864
"O94973",0.36266610350588,0.433786543876423
"O94985",-0.183441724562831,-0.200683166829752
"O95084",-0.176071642337156,-0.242032854233263
"O95196",-0.158509278591627,-0.200495487095582
"O95236",0.22486582006635,0.216807410162327
"O95373",-0.256923149349038,-0.273095075273098
"O95445",0.13436535007364,0.125197799360514
"O95466",-0.00954964565342298,-0.0734270460088116
"O95498",-0.169488156075857,-0.155696927656432
"O95714",0.109571132883501,0.209072013166532
"O95715",-0.102188048947417,-0.0989185827518604
"O95744",0.0938737610028131,0.216730681751963
"O95747",-0.20942960820371,-0.274108146223663
"O95782",-0.0427229373125426,-0.106108881089149
"O95810",-0.0729755335835396,-0.07795146239628
"O95967",-0.144171210597408,-0.183205348868579
"P00325",0.015561868299196,-0.0129160275913609
"P00326",0.232216916165422,0.187555868081043
"P00338",0.118925846420847,0.0826897147286019
"P00352",-0.157075513597833,-0.182263203016186
"P00387",0.105239141364081,0.0311407912423967
"P00450",0.336012241433711,0.327169844990129
"P00451",-0.0832212478998429,-0.0445534182077285
"P00488",0.258650525559997,0.184400586136059
"P00491",-0.0440874357353795,-0.0617646822164328
"P00492",0.175574511230835,0.106424031973853
"P00558",-0.115451377306689,-0.147940334029958
"P00568",-0.146658922119633,-0.205493091508892
"P00734",0.0236954096051196,0.0878174758655099
"P00736",-0.122992297041865,-0.172368376917788
"P00738",0.760874397429106,0.769187746550555
"P00739",0.149282429451004,0.129562218245983
"P00740",0.0140398682016851,0.0306423566835736
"P00742",-0.0468990945887189,-0.00655645484365408
"P00746",-0.161937800272961,-0.129695065291759
"P00747",0.0126639569810187,0.031735652874044
