"Protein","Control","Low","High","Pattern","logFC","adj.P.Val"
"Q9NP78",10.3112689474594,10.9804077045422,10.4638460412072,"Low_peak",-0.336049527634415,0.0212378207322746
"Q9Y4L1",8.87511621941226,9.15284253775853,8.86232995491183,"Low_peak",-0.252866355474646,0.0212378207322746
"Q9H8L6",10.5219441963534,11.0337123053606,10.6442031710328,"Low_peak",-0.289188384755947,0.0212378207322746
"Q92752",7.14004308443169,7.25652882261065,6.99897526338337,"Low_peak",-0.291769357325912,0.0221851392485639
"Q92743",10.2912051300312,10.5872088551047,10.2443556157869,"Low_peak",-0.27432406058978,0.0227805603135692
"P51884",16.8352786719673,16.9847041938505,16.762208577411,"Low_peak",-0.231395482821593,0.0234078529816178
"O00339",7.02416281596716,7.31715434053094,6.96569201062673,"Low_peak",-0.34008383057583,0.0241020563469803
"Q9BWP8",13.8603307954608,14.0512787289621,13.740591774622,"Low_peak",-0.316323849147013,0.0242446435658411
"Q8NBJ7",8.02154660225208,8.13356026462785,7.75092617185977,"Low_peak",-0.329301487802988,0.0243129663188675
"Q76I76",9.19699082046098,9.34435945293314,9.01170937585407,"Low_peak",-0.305457957839197,0.0248282528508993
"P05387",8.64586575960453,8.88584956109979,8.5302905010113,"Low_peak",-0.298449005127107,0.0248282528508993
"O43897",9.6314442999779,9.94118369426062,9.63271180516894,"Low_peak",-0.265468965506154,0.0249681613263044
"P55287",8.08610978873854,8.42871954214881,8.07212348241985,"Low_peak",-0.307549165527874,0.0249681613263044
